Symbol,Fund Name,AMC,Project ID,Status,Registration Date,Cancel Date
"ABAPAC-RMF","abrdn Asia Pacific Equity Retirement Mutual Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0774_2554","RG","2011-12-13","-"
"ABGDD-RMF","abrdn Global Dynamic Dividend Retirement Mutual Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0570_2565","RG","2022-12-20","-"
"ABSC-RMF","abrdn Smart Capital Retirement Mutual Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0140_2545","RG","2002-11-12","-"
"ABSI-RMF","abrdn Smart Income Retirement Mutual Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0141_2545","RG","2002-11-12","-"
"ABSM-RMF","abrdn Small-Mid Cap Retirement Mutual Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0569_2565","RG","2022-12-20","-"
"AFMOATHRMF","AF US WIDE MOAT HEDGE RETIREMENT MUTUAL FUND","TALIS ASSET MANAGEMENT COMPANY LIMITED","M0525_2566","RG","2023-10-18","-"
"ASP-AIEQRMF","Asset Plus Artificial Intelligence Equity Growth RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0542_2560","RG","2017-11-23","-"
"ASP-DIGIBLOCRMF","Asset Plus Digital Blockchain RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0497_2564","RG","2022-01-28","-"
"ASP-DISRUPTRMF","Asset Plus Disruptive Opportunities RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0271_2561","RG","2018-08-30","-"
"ASP-ERF","Asset Plus Equity RMF","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0776_2547","RG","2004-12-23","-"
"ASP-EVOCHINARMF","Asset Plus Evolution China Equity RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0449_2563","RG","2020-10-15","-"
"ASP-FRF","Asset Plus Fixed RMF","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0787_2547","RG","2004-12-23","-"
"ASP-INDIARMF","Asset Plus India Dynamic Equity RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0318_2567","RG","2024-06-13","-"
"ASP-MRF","Asset Plus Mixed RMF","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0785_2547","RG","2004-12-23","-"
"ASP-POWERRMF","Asset Plus Futuristic Power Supply and Mobility RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0402_2564","RG","2021-11-12","-"
"ASP-SMERMF","Asset Plus Small and Mid Cap Equity RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0085_2566","RG","2023-04-05","-"
"ASP-TOPBRANDRMF","Asset Plus Top Brand RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0343_2566","RG","2023-07-25","-"
"ASP-VIETRMF","Asset Plus Vietnam Growth RMF Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0298_2561","RG","2018-09-19","-"
"B-ASEANRMF","Bualuang ASEAN Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0148_2560","RG","2017-06-02","-"
"B-ASIARMF","Bualuang Asia Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0197_2561","RG","2018-10-11","-"
"B-ASIATECHRMF","Bualuang Asia Technology RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0568_2567","RG","2024-12-13","-"
"B-CHINAARMF","Bualuang China A-Shares Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0110_2563","RG","2020-11-05","-"
"B-DYNAMICRMF","Bualuang Dynamic Bond RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0320_2566","RG","2023-07-14","-"
"B-FUTURERMF","Bualuang Future Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0112_2564","RG","2021-04-29","-"
"B-GLOB-INFRARMF","Bualuang Global Infrastructure Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0473_2565","RG","2022-10-12","-"
"B-GLOBALRMF","Bualuang Global Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0495_2558","RG","2015-11-12","-"
"B-GTORMF","Bualuang Global Thematic Opportunities RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0082_2564","RG","2021-04-29","-"
"B-INDIAMRMF","Bualuang India Mid Cap RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0452_2560","RG","2017-11-23","-"
"B-INNOTECHRMF","Bualuang Global Innovation & Technology RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0213_2561","RG","2018-10-11","-"
"B-IR-FOFRMF","Bualuang Infrastructure and Real Estate Fund of Funds RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0573_2562","RG","2019-11-13","-"
"B-OPPRMF","Bualuang Equity Opportunities RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0731_2567","RG","2024-11-21","-"
"B-PREMIUMRMF","Bualuang Premium Brands Equity RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0304_2566","RG","2023-10-25","-"
"B-SIPRMF","Bualuang Sustainable Investing Portfolio RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0388_2564","RG","2021-11-04","-"
"B-SM-RMF","Bualuang Small-Mid Cap RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0775_2554","RG","2012-11-20","-"
"B-TOPTENRMF","Bualuang Top-Ten RMF","BBL ASSET MANAGEMENT COMPANY LIMITED","M0089_2561","RG","2018-05-17","-"
