Symbol,Fund Name,AMC,Fund Classification (AIMC),Management Style,Dividend Policy,Risk,Fund for tax allowance
ABAPAC-RMF,abrdn Asia Pacific Equity Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQASxJP,AM,No,6,RMF
ABGDD-RMF,abrdn Global Dynamic Dividend Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQGL,AN,No,6,RMF
ABSC-RMF,abrdn Smart Capital Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQGEN,AM,No,6,RMF
ABSI-RMF,abrdn Smart Income Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,FIXGOV,AM,No,4,RMF
ABSM-RMF,abrdn Small-Mid Cap Retirement Mutual Fund,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,EQSM,AM,No,6,RMF
AFMOATHRMF,AF US WIDE MOAT HEDGE RETIREMENT MUTUAL FUND,TALIS ASSET MANAGEMENT COMPANY LIMITED,EQUS,PN,No,6,RMF
ASP-AIEQRMF,Asset Plus Artificial Intelligence Equity Growth RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF
ASP-DIGIBLOCRMF,Asset Plus Digital Blockchain RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF
ASP-DISRUPTRMF,Asset Plus Disruptive Opportunities RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGL,AM,No,6,RMF
ASP-ERF,Asset Plus Equity RMF,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGEN,AM,No,6,RMF
ASP-EVOCHINARMF,Asset Plus Evolution China Equity RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQCH,AM,No,6,RMF
ASP-FRF,Asset Plus Fixed RMF,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,FIXMIDGEN,AM,No,4,RMF
ASP-INDIARMF,Asset Plus India Dynamic Equity RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQIN,-,No,6,RMF
ASP-MRF,Asset Plus Mixed RMF,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,MIXAGG,AM,No,5,RMF
ASP-POWERRMF,Asset Plus Futuristic Power Supply and Mobility RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGL,AM,No,6,RMF
ASP-SMERMF,Asset Plus Small and Mid Cap Equity RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQSM,AM,No,6,RMF
ASP-TOPBRANDRMF,Asset Plus Top Brand RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQGL,AM,No,6,RMF
ASP-VIETRMF,Asset Plus Vietnam Growth RMF Fund,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,EQVIET,AM,No,6,RMF
B-ASEANRMF,Bualuang ASEAN Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF
B-ASIARMF,Bualuang Asia Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AN,No,6,RMF
B-ASIATECHRMF,Bualuang Asia Technology RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,-,No,6,RMF
B-CHINAARMF,Bualuang China A-Shares Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AN,No,6,RMF
B-DYNAMICRMF,Bualuang Dynamic Bond RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AM,No,4,RMF
B-FUTURERMF,Bualuang Future Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AM,No,6,RMF
B-GLOB-INFRARMF,Bualuang Global Infrastructure Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AN,No,6,RMF
B-GLOBALRMF,Bualuang Global Equity RMF,BBL ASSET MANAGEMENT COMPANY LIMITED,-,AN,No,6,RMF
