Symbol,Fund Name,AMC,Project ID,Status,Registration Date,Cancel Date
"ABALL-TESGX-M","abrdn All Seasons Thailand ESG Extra Fund","ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED","M0462_2568","RG","2025-05-13","-"
"ASP-DEQ ThaiESGX","Asset Plus Dividend Equity Thailand ESG Extra Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0437_2568","RG","2025-05-09","-"
"ASP-MIX ThaiESGX","Asset Plus Mixed Thailand ESG Extra Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0442_2568","RG","2025-05-09","-"
"BCAPSETTHAIESGX","BCAP SET Thailand ESG Extra Fund","BANGKOK CAPITAL ASSET MANAGEMENT COMPANY LIMITED","M0415_2568","RG","2025-05-09","-"
"BEQD-TESGX","Bualuang Equity Thailand ESG Extra Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0434_2568","RG","2025-05-09","-"
"BM70-TESGX","Bualuang Mixed 70/30 Thailand ESG Extra Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0435_2568","RG","2025-05-09","-"
"BMDIV-TESGX","Bualuang Mixed Dividend Thailand ESG Extra Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0436_2568","RG","2025-05-09","-"
"ES-DIV70THAIESGX","Eastspring Dividend Stock 70 Thailand ESG Extra Fund","EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0413_2568","RG","2025-05-09","-"
"ES-DIVTHAIESGX","Eastspring Dividend Stock Thailand ESG Extra Fund","EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0419_2568","RG","2025-05-09","-"
"FP ThaiESGX","First Plus Thailand ESG Extra Fund","FIRST PLUS ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0416_2568","RG","2025-05-09","-"
"HIDIV-Thai ESGX","MFC Hi-Dividend Thailand ESG Extra Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0449_2568","RG","2025-05-09","-"
"K-70ThaiESGX","K 70:30 Thailand ESG Extra Fund","KASIKORN ASSET MANAGEMENT COMPANY LIMITED","M0455_2568","RG","2025-05-09","-"
"K-HDThaiESGX","K High Dividend Stock Thailand ESG Extra Fund","KASIKORN ASSET MANAGEMENT COMPANY LIMITED","M0429_2568","RG","2025-05-09","-"
"KF70-THAIESGX","Krungsri 70/30 Thailand ESG Extra Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0451_2568","RG","2025-05-13","-"
"KFAEQ-THAIESGX","Krungsri Active Equity Thailand ESG Extra Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0456_2568","RG","2025-05-13","-"
"KFS50-THAIESGX","Krungsri SET50 Thailand ESG Extra Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0457_2568","RG","2025-05-13","-"
"KKP BL THAI ESGX FUND","KKP BALANCED THAILAND ESG EXTRA FUND","KIATNAKIN PHATRA ASSET MANAGEMENT COMPANY LIMITED","M0466_2568","RG","2025-05-09","-"
"LHTHAIESGX","LH FLEXIBLE THAILAND ESG EXTRA FUND","LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED","M0357_2568","RG","2025-05-09","-"
"MEQUITY-Thai ESGX","MFC Equity Thailand ESG Extra Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0448_2568","RG","2025-05-09","-"
"MIF-Thai ESGX","MFC FTSE Shariah Investment Thailand ESG Extra Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0444_2568","RG","2025-05-09","-"
"MIX-Thai ESGX","MFC Mixed Thailand ESG Extra Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0447_2568","RG","2025-05-09","-"
"ONE-THAIESGX","ONE EQUITY THAILAND ESG EXTRA FUND","ONE ASSET MANAGEMENT LIMITED","M0392_2568","RG","2025-05-09","-"
"P-MESGX","Phillip Mixed Thailand ESG Extra Fund","PHILLIP ASSET MANAGEMENT COMPANY LIMITED","M0465_2568","RG","2025-05-09","-"
"PRINCIPAL SEQTESGX","Principal Selected Dividend Equity Thailand ESG Extra Fund","PRINCIPAL ASSET MANAGEMENT COMPANY LIMITED","M0459_2568","RG","2025-05-09","-"
"TThai70ESGX","TISCO Equity 70 Thailand ESG Extra Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0446_2568","RG","2025-05-09","-"
"TThaiESGX","TISCO Equity Thailand ESG Extra Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0439_2568","RG","2025-05-09","-"
"UEQ-TESGX","United Equity Thailand ESG Extra Fund","UOB ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0454_2568","RG","2025-05-09","-"
"UMIX-TESGX","United Mixed 70/30 Thailand ESG Extra Fund","UOB ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0461_2568","RG","2025-05-09","-"
